year,away_team,away_score,home_team,home_score
1903,Pittsburgh Pirates,7,Boston Americans,3
1903,Pittsburgh Pirates,0,Boston Americans,3
1903,Pittsburgh Pirates,4,Boston Americans,2
1903,Boston Americans,4,Pittsburgh Pirates,5
1903,Boston Americans,11,Pittsburgh Pirates,2
1903,Boston Americans,6,Pittsburgh Pirates,3
1903,Boston Americans,7,Pittsburgh Pirates,3
1903,Pittsburgh Pirates,0,Boston Americans,3
1905,New York Giants,3,Philadelphia Athletics,0
1905,Philadelphia Athletics,3,New York Giants,0
1905,New York Giants,9,Philadelphia Athletics,0
1905,Philadelphia Athletics,0,New York Giants,1
1905,Philadelphia Athletics,0,New York Giants,2
1906,Chicago White Sox,2,Chicago Cubs,1
1906,Chicago Cubs,7,Chicago White Sox,1
1906,Chicago White Sox,3,Chicago Cubs,0
1906,Chicago Cubs,1,Chicago White Sox,0
1906,Chicago White Sox,8,Chicago Cubs,6
1906,Chicago Cubs,3,Chicago White Sox,8
1907,Detroit Tigers,3,Chicago Cubs,3
1907,Detroit Tigers,1,Chicago Cubs,3
1907,Detroit Tigers,1,Chicago Cubs,5
1907,Chicago Cubs,6,Detroit Tigers,1
1907,Chicago Cubs,2,Detroit Tigers,0
1908,Chicago Cubs,10,Detroit Tigers,6
1908,Detroit Tigers,1,Chicago Cubs,6
1908,Detroit Tigers,8,Chicago Cubs,3
1908,Chicago Cubs,3,Detroit Tigers,0
1908,Chicago Cubs,2,Detroit Tigers,0
1909,Detroit Tigers,1,Pittsburgh Pirates,4
1909,Detroit Tigers,7,Pittsburgh Pirates,2
1909,Pittsburgh Pirates,8,Detroit Tigers,6
1909,Pittsburgh Pirates,0,Detroit Tigers,5
1909,Detroit Tigers,4,Pittsburgh Pirates,8
1909,Pittsburgh Pirates,4,Detroit Tigers,5
1909,Pittsburgh Pirates,8,Detroit Tigers,0
1910,Chicago Cubs,1,Philadelphia Athletics,4
1910,Chicago Cubs,3,Philadelphia Athletics,9
1910,Philadelphia Athletics,12,Chicago Cubs,5
1910,Philadelphia Athletics,3,Chicago Cubs,4
1910,Philadelphia Athletics,7,Chicago Cubs,2
1911,Philadelphia Athletics,1,New York Giants,2
1911,New York Giants,1,Philadelphia Athletics,3
1911,Philadelphia Athletics,3,New York Giants,2
1911,New York Giants,2,Philadelphia Athletics,4
1911,Philadelphia Athletics,3,New York Giants,4
1911,New York Giants,2,Philadelphia Athletics,13
1912,Boston Red Sox,4,New York Giants,3
1912,New York Giants,6,Boston Red Sox,6
1912,New York Giants,2,Boston Red Sox,1
1912,Boston Red Sox,3,New York Giants,1
1912,New York Giants,1,Boston Red Sox,2
1912,Boston Red Sox,2,New York Giants,5
1912,New York Giants,11,Boston Red Sox,4
1912,New York Giants,2,Boston Red Sox,3
1913,Philadelphia Athletics,6,New York Giants,4
1913,New York Giants,3,Philadelphia Athletics,0
1913,Philadelphia Athletics,8,New York Giants,2
1913,New York Giants,5,Philadelphia Athletics,6
1913,Philadelphia Athletics,3,New York Giants,1
1914,Boston Braves,7,Philadelphia Athletics,1
1914,Boston Braves,1,Philadelphia Athletics,0
1914,Philadelphia Athletics,4,Boston Braves,5
1914,Philadelphia Athletics,1,Boston Braves,3
1915,Boston Red Sox,1,Philadelphia Phillies,3
1915,Boston Red Sox,2,Philadelphia Phillies,1
1915,Philadelphia Phillies,1,Boston Red Sox,2
1915,Philadelphia Phillies,1,Boston Red Sox,2
1915,Boston Red Sox,5,Philadelphia Phillies,4
1916,Brooklyn Robins,5,Boston Red Sox,6
1916,Brooklyn Robins,1,Boston Red Sox,2
1916,Boston Red Sox,3,Brooklyn Robins,4
1916,Boston Red Sox,6,Brooklyn Robins,2
1916,Brooklyn Robins,1,Boston Red Sox,4
1917,New York Giants,1,Chicago White Sox,2
1917,New York Giants,2,Chicago White Sox,7
1917,Chicago White Sox,0,New York Giants,2
1917,Chicago White Sox,0,New York Giants,5
1917,New York Giants,5,Chicago White Sox,8
1917,Chicago White Sox,4,New York Giants,2
1918,Boston Red Sox,1,Chicago Cubs,0
1918,Boston Red Sox,1,Chicago Cubs,3
1918,Boston Red Sox,2,Chicago Cubs,1
1918,Chicago Cubs,2,Boston Red Sox,3
1918,Chicago Cubs,3,Boston Red Sox,0
1918,Chicago Cubs,1,Boston Red Sox,2
1919,Chicago White Sox,1,Cincinnati Reds,9
1919,Chicago White Sox,2,Cincinnati Reds,4
1919,Cincinnati Reds,0,Chicago White Sox,3
1919,Cincinnati Reds,2,Chicago White Sox,0
1919,Cincinnati Reds,5,Chicago White Sox,0
1919,Chicago White Sox,5,Cincinnati Reds,4
1919,Chicago White Sox,4,Cincinnati Reds,1
1919,Cincinnati Reds,10,Chicago White Sox,5
1920,Cleveland Indians,3,Brooklyn Robins,1
1920,Cleveland Indians,0,Brooklyn Robins,3
1920,Cleveland Indians,1,Brooklyn Robins,2
1920,Brooklyn Robins,1,Cleveland Indians,5
1920,Brooklyn Robins,1,Cleveland Indians,8
1920,Brooklyn Robins,0,Cleveland Indians,1
1920,Brooklyn Robins,0,Cleveland Indians,3
1921,New York Yankees,3,New York Giants,0
1921,New York Giants,0,New York Yankees,3
1921,New York Yankees,5,New York Giants,13
1921,New York Giants,4,New York Yankees,2
