author,genderize_gender,genderize_probability,genderize_count,gender_api_gender,gender_api_probability,gender_api_samples
A-Yeong,unknown,0,0,unknown,0,0
A.J.,male,0.91,43,unknown,0,0
A.S.M,unknown,0,0,unknown,0,0
ARJUN,male,1,92,male,100,6181
Aadhar,unknown,0,0,male,96,28
Aal,male,1,1,male,89,73
Aamir,male,1,75,male,100,2715
Aaron,male,1,2233,male,100,27362
Aart,male,1,2,male,99,119
Abby,female,0.98,536,female,92,5026
Abdallah,male,1,78,male,99,2439
Abder,male,1,5,male,100,86
Abdigani,unknown,0,0,unknown,0,0
Abdul,male,1,411,male,99,18177
Abdullah,male,0.99,667,male,99,12409
Abhijeet,male,1,44,male,100,3347
Abhijit,male,1,55,male,100,3360
Abhijith,male,1,2,male,100,748
Abhik,male,1,7,male,100,271
Abhimanyu,male,1,15,male,100,1107
Abhinav,male,1,47,male,100,4543
Abhishek,male,1,299,male,100,23284
Abigail,female,1,431,female,98,5136
Abir,female,0.86,63,male,51,829
Abraham,male,1,279,male,99,5670
Abrey,unknown,0,0,unknown,0,0
Acar,male,1,26,male,90,61
Achim,male,1,4,male,99,855
Achla,female,1,1,female,88,16
Ackerman,unknown,0,0,male,100,5
Ada,female,0.96,196,female,91,3124
Adalberto,male,1,23,male,100,1058
Adam,male,1,3847,male,99,52199
Adith,male,1,1,male,93,98
Adithya,male,1,11,male,95,771
Aditi,female,1,130,female,98,2532
Aditya,male,1,275,male,99,13029
Adiya,female,1,1,female,59,32
Adiyan,unknown,0,0,female,67,3
Adnan,male,1,257,male,98,7273
Adrian,male,0.97,1452,male,98,26709
Adriana,female,1,1416,female,98,22591
Adrien,male,0.97,233,male,97,4117
Adrienne,female,1,244,female,99,2409
Afarin,unknown,0,0,female,92,13
Aflatoony,unknown,0,0,unknown,0,0
Afra,female,1,12,female,85,230
Afsaneh,female,1,10,female,99,171
Afshin,male,1,10,male,99,700
Agha,male,1,5,male,99,255
Aghel-Manesh,None,0,0,unknown,0,0
Agnieszka,female,1,206,female,99,8115
Agon,male,1,6,male,99,88
Agustin,male,0.99,338,male,96,3875
Agustina,female,0.99,138,female,98,1505
Ahmad,male,0.99,868,male,99,30831
Ahmed,male,0.99,2541,male,99,60372
Ahmet,male,0.99,1335,male,99,12416
Ahreum,female,1,1,female,100,8
Ahsan,male,1,51,male,100,2365
Ai,female,0.95,95,female,77,1067
Ai-Ju,None,0,0,unknown,0,0
Aibo,None,0,0,male,75,8
Aidan,male,0.98,162,male,95,1913
Aidong,None,0,0,unknown,0,0
Aileen,female,1,157,female,98,1350
Aimee,female,1,606,female,99,3071
Ainojie,None,0,0,unknown,0,0
Airi,female,1,3,female,91,100
Aisha,female,1,205,female,98,2784
Aisling,female,1,115,female,99,350
Aixin,None,0,0,female,80,5
Ajay,male,0.99,269,male,100,16136
Ajit,male,0.95,58,male,100,3575
Ajita,female,1,1,female,93,73
Aju,male,1,9,male,95,303
Akihiro,male,1,4,male,100,247
Akihito,male,1,23,male,100,60
Akimitsu,None,0,0,male,100,11
Akio,male,1,3,male,96,150
Akira,male,0.85,55,male,79,1324
Akisato,None,0,0,unknown,0,0
Akiyoshi,None,0,0,male,97,31
Akrivi,None,0,0,unknown,0,0
Akshat,male,1,7,male,100,1061
Akshay,male,1,88,male,100,9665
Akshita,female,1,8,female,98,291
Alain,male,1,464,male,99,12562
Alan,male,1,2013,male,99,25139
Alanson,None,0,0,male,100,8
Alasdair,male,1,19,male,100,256
Albert,male,0.99,693,male,99,12903
Alberto,male,1,1479,male,100,27546
Albin,male,1,22,male,98,845
Albrecht,male,1,4,male,99,115
Alden,male,0.89,19,male,91,335
Aldo,male,1,261,male,99,5163
Aleix,male,1,9,male,99,315
Alejandro,male,1,1870,male,99,27112
Alek,male,0.89,9,male,92,620
Alekh,male,1,1,male,100,67
Aleksandr,male,1,23,male,100,2633
Aleksandra,female,0.99,229,female,97,5804
Alena,female,0.99,140,female,99,3932
Alessandra,female,1,649,female,90,11690
Alessandro,male,1,978,male,100,20924
Alessio,male,1,318,male,100,5503
Alethia,None,0,0,female,99,73
Alex,male,0.87,5651,male,92,108302
Alexa,female,0.98,240,female,96,3298
Alexander,male,1,1588,male,99,33621
Alexandra,female,1,1662,female,98,20303
Alexandre,male,1,872,male,99,21201
Alexandros,male,1,74,male,100,923
Alexandru,male,1,29,male,99,2589
Alexey,male,1,44,male,100,4208
Alexis,male,0.52,1184,male,62,14654
Alfons,male,1,11,male,98,514
Alfred,male,1,225,male,99,4952
Ali,male,0.85,3244,male,95,71271
Alia,female,0.99,105,female,92,1150
Aliaksei,None,0,0,male,100,72
Alice,female,1,1360,female,98,14925
Alicia,female,0.99,1503,female,98,14165
Alin,male,0.68,28,male,84,1681
Alina,female,0.98,292,female,97,6843
Alireza,male,1,87,male,100,4397
Alisa,female,0.98,180,female,95,2112
Alison,female,0.99,1248,female,91,7376
Alissa,female,1,106,female,99,1232
Alistair,male,1,90,male,99,1009
Alkis,male,1,4,male,99,113
Allen,male,0.99,551,male,97,6884
Allison,female,1,1009,female,96,8598
Alok,male,1,110,male,100,4760
Alon,male,0.98,49,male,97,524
Alona,female,1,20,female,97,301
Altigran,male,1,2,unknown,0,0
Altimira,None,0,0,unknown,0,0
Alvaro,male,1,649,male,100,10450
Alvin,male,1,328,male,99,4233
Alvis,male,0.67,6,male,94,140
Alvitta,None,0,0,unknown,0,0
Alyson,female,0.98,132,female,81,1021
Amanda,female,1,4767,female,98,46039
Amar,male,0.88,164,male,97,5559
Amarnath,male,1,3,male,100,563
Amber,female,1,1673,female,97,13979
Ambuj,male,1,2,male,99,272
Amedeo,male,1,15,male,100,501
Amee,female,1,16,female,87,181
Ameet,male,1,19,male,98,257
Amel,female,0.91,92,female,85,1595
Amelia,female,1,359,female,98,4627
Amelie,female,0.99,363,female,97,1379
Amey,female,0.53,19,male,90,736
Amin,male,0.9,167,male,98,6521
Amine,male,0.98,217,male,97,7323
Amir,male,1,486,male,99,13909
Amirali,male,1,22,male,99,287
Amirhossein,male,1,3,male,99,391
Amit,male,0.99,456,male,100,30395
Amitha,female,1,4,female,79,140
Amol,male,1,55,male,99,4215
Amos,male,1,83,male,98,1686
Amr,male,0.99,305,male,99,5597
Amrapali,None,0,0,female,97,58
Amro,male,1,35,male,99,639
Amy,female,0.99,4188,female,98,29049
Amê©lie,female,0.99,363,female,98,1225
An,female,0.83,159,male,53,3171
AnHai,male,1,1,unknown,0,0
Ana,female,0.99,3464,female,97,49637
Analia,female,0.99,143,female,99,888
Anamary,None,0,0,female,100,22
Anand,male,1,179,male,100,11303
Anant,male,0.98,59,male,99,1402
Ananth,male,1,10,male,100,867
Ananthanarayan,None,0,0,male,100,3
Anastasia,female,0.99,357,female,98,4737
Anastasios,male,1,9,male,100,238
Anat,female,0.98,44,female,84,255
Anatole,male,1,1,male,98,107
Anbang,None,0,0,male,100,8
Anca,female,0.98,45,female,93,1104
Anders,male,1,585,male,100,4793
Andersen,male,1,4,male,93,60
Andr??s,None,0,0,unknown,0,0
Andr_,None,0,0,unknown,0,0
Andre,male,0.95,1159,male,97,21111
Andrea,female,0.79,5621,female,59,70070
Andreas,male,1,998,male,99,17692
Andrei,male,0.99,166,male,99,6328
Andrej,male,0.99,83,male,99,2404
Andres,male,1,2019,male,98,18155
Andrew,male,1,5011,male,100,59022
Andrey,male,0.99,141,male,100,8113
Andries,male,1,15,male,99,408
Andriy,male,1,14,male,100,829
Andruid,None,0,0,unknown,0,0
Andrê©,male,0.95,1159,male,98,11608
Andrê©s,male,1,2019,male,100,4050
Andy,male,0.95,3036,male,96,31280
Aneesh,male,0.95,20,male,100,1619
Aneesha,female,1,2,female,99,137
Ang,female,0.61,89,male,50,654
Angel,male,0.6,1600,male,66,28359
Angela,female,1,3376,female,98,31287
Angelika,female,1,72,female,99,2514
Angeliki,female,1,10,female,96,136
Angelique,female,0.99,315,female,99,2377
Anicia,female,1,2,female,97,34
Aniket,male,1,15,male,100,2812
Anil,male,0.99,269,male,100,16303
Anila,female,1,28,female,96,410
Animesh,male,1,34,male,100,1266
Anind,male,1,1,male,100,3
Anirudha,male,1,11,male,99,260
Anis,male,0.75,83,male,70,3103
Anish,male,1,66,male,99,3114
Anita,female,1,1472,female,98,15945
Anitha,female,1,60,female,98,1359
Anja,female,1,389,female,98,3823
Anke,female,1,68,female,98,960
Ankit,male,1,174,male,100,14654
Ankitha,female,1,23,female,97,128
Ankur,male,1,151,male,99,5928
Anlei,None,0,0,unknown,0,0
Anmol,male,0.85,13,male,88,1355
Ann,female,0.98,1754,female,98,11655
Anna,female,1,4597,female,98,57511
Annalu,None,0,0,female,100,12
Anne,female,1,2379,female,98,19450
Annelise,female,1,19,female,99,268
Anni-Yasmin,None,0,0,unknown,0,0
Annie,female,1,1088,female,98,9746
Annika,female,1,157,female,99,1743
Annina,female,1,14,female,98,105
Annuska,None,0,0,female,100,16
Anoop,male,1,40,male,100,3891
Ansgar,male,1,3,male,100,95
Anshul,male,0.81,32,male,95,2335
Anthony,male,1,2937,male,100,40314
Antle,None,0,0,unknown,0,0
Antoine,male,1,395,male,99,8060
Anton,male,1,527,male,99,10296
Antonella,female,0.88,465,female,99,3753
Antonietta,female,1,36,female,98,454
Antonino,male,1,45,male,100,1424
Antonio,male,1,2191,male,99,59628
Antonios,male,1,5,male,100,170
Antonis,male,0.97,61,male,99,827
Antony,male,1,244,male,99,4729
Antske,None,0,0,unknown,0,0
Antti,male,1,107,male,100,895
Anu,female,0.92,147,female,77,3981
Anuj,male,1,101,male,100,4509
Anupam,male,0.98,54,male,95,2267
Anupriya,female,1,23,female,99,253
Anurag,male,1,61,male,100,5494
Anusha,female,1,38,female,98,2100
Anya,female,1,109,female,97,1218
Aparna,female,1,38,female,98,1830
Apolinar,male,1,5,male,100,68
Apoorva,female,0.78,9,female,78,912
Apoorve,None,0,0,male,100,13
Apostolos,male,1,18,male,99,305
Apu,male,1,2,male,92,171
Arantxa,female,0.99,72,female,98,584
Arash,male,1,56,male,99,2676
Aravind,male,1,29,male,100,2671
Areti,female,1,3,female,94,81
Argyrios,None,0,0,male,100,8
Ari,male,0.77,296,male,80,6005
Ariana,female,0.97,134,female,97,2920
Arie,male,0.84,58,male,92,2398
Ariel,male,0.67,538,male,72,7617
Ariella,female,1,25,female,98,177
Arild,male,1,49,male,100,210
Arindam,male,1,6,male,100,1375
Ario,male,1,17,male,100,308
Aris,male,0.89,97,male,94,2803
Aristides,male,1,13,male,99,332
Arjan,male,1,37,male,99,855
Arjen,male,1,7,male,98,342
Arjun,male,1,92,male,100,6181
Arkadii,None,0,0,male,100,11
Arkady,male,1,3,male,97,146
Armando,male,0.99,575,male,100,7950
Armin,male,0.99,128,male,98,2331
Arminda,female,1,10,female,98,148
Arnab,male,1,32,male,100,1535
Arnaldo,male,1,52,male,99,1432
Arnd,male,1,4,male,100,89
Arne,male,0.99,109,male,99,1247
Arnie,male,0.96,71,male,82,342
Arno,male,1,66,male,99,1476
Arnold,male,0.98,181,male,99,3485
Arofan,None,0,0,unknown,0,0
Aron,male,0.83,78,male,97,1538
Arpita,female,1,38,female,98,1322
Artem,male,1,27,male,100,2587
Artemio,male,1,6,male,100,185
Arthur,male,0.98,535,male,99,11312
Artie,male,0.98,40,male,88,215
Artin,male,0.67,3,male,91,116
Arto,male,1,26,male,100,353
Arttu,male,0.86,7,male,100,161
Arun,male,1,321,male,99,20291
Arunesh,None,0,0,male,97,116
Arupa,female,1,1,female,80,5
Arvid,male,1,13,male,100,265
Arvind,male,1,70,male,100,5901
Arzoo,female,0.8,5,female,79,103
Asako,female,1,9,female,98,61
Aseem,male,0.96,24,male,99,438
Ashay,male,1,2,male,99,111
Ashish,male,1,298,male,100,18523
Ashley,female,0.9,3786,female,89,30639
Ashraf,male,0.91,210,male,98,4643
Ashton,male,0.55,121,male,65,1252
Ashutosh,male,1,128,male,100,4830
Ashwini,female,0.58,40,female,79,2615
Ashwinkumar,None,0,0,male,100,39
Asier,male,0.91,23,male,99,657
Asif,male,1,154,male,99,5842
Asim,male,1,75,male,99,2281
Asimina,female,1,2,female,97,34
Assaf,male,1,5,male,99,234
Asta,female,0.95,22,female,86,496
Astrid,female,1,348,female,98,3443
Asunciê_n,female,1,9,female,93,56
Atanaz,None,0,0,female,67,3
Atau,None,0,0,unknown,0,0
Athena,female,1,99,female,96,967
